competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,senior-dev,otterscan/otterscan,NethermindEth/nethermind,NethermindEth/nethermind,2025-10-22T10:31:15.660213+00:00,0.0006715
gg24,senior-dev,Consensys/gnark-crypto,OpenZeppelin/openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,2025-10-22T10:31:16.105734+00:00,0.0008085
gg24,dev,Consensys/gnark-crypto,OpenZeppelin/openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,2025-10-22T10:31:16.147406+00:00,0.0006805
gg24,builder,NomicFoundation/hardhat,vyperlang/vyper,NomicFoundation/hardhat,2025-10-22T10:31:16.150849+00:00,0.00066675
gg24,dev,ethstaker/ethstaker-deposit-cli,ethereum/py_ecc,ethereum/py_ecc,2025-10-22T10:31:16.180287+00:00,0.00079925
gg24,dev,NomicFoundation/hardhat,vyperlang/vyper,NomicFoundation/hardhat,2025-10-22T10:31:16.189157+00:00,0.00066925
gg24,founder,hyperledger/besu,OpenZeppelin/openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,2025-10-22T10:31:16.455580+00:00,0.00067125
gg24,founder,otterscan/otterscan,NethermindEth/nethermind,NethermindEth/nethermind,2025-10-22T10:31:16.677191+00:00,0.000927
gg24,founder,lambdaclass/lambda_ethereum_consensus,OffchainLabs/prysm,OffchainLabs/prysm,2025-10-22T10:31:16.730338+00:00,0.00067175
gg24,senior-dev,Consensys/teku,scaffold-eth/scaffold-eth-2,Consensys/teku,2025-10-22T10:31:16.831621+00:00,0.000799
gg24,dev,wevm/viem,grandinetech/grandine,wevm/viem,2025-10-22T10:31:16.893119+00:00,0.00066575
gg24,meta,NomicFoundation/hardhat,vyperlang/vyper,NomicFoundation/hardhat,2025-10-22T10:31:16.984322+00:00,0.0006665
gg24,founder,risc0/risc0-ethereum,l2beat/l2beat,l2beat/l2beat,2025-10-22T10:31:17.016396+00:00,0.00092925
gg24,founder,skalenetwork/libBLS,OffchainLabs/prysm,OffchainLabs/prysm,2025-10-22T10:31:17.209510+00:00,0.000936
