competition_id,method,rank,item,weight
gg24,elo,1,ethereum/EIPs,0.05462070951013452
gg24,elo,2,OpenZeppelin/openzeppelin-contracts,0.04368343729572341
gg24,elo,3,argotorg/solidity,0.04294831164360727
gg24,elo,4,ethereum/execution-apis,0.04248058690542095
gg24,elo,5,ethers-io/ethers.js,0.04037772977528741
gg24,elo,6,NomicFoundation/hardhat,0.035666580641665
gg24,elo,7,ethereum/consensus-specs,0.03141002688618508
gg24,elo,8,remix-project-org/remix-project,0.030062193407382604
gg24,elo,9,supranational/blst,0.028982455456349247
gg24,elo,10,ethereum/go-ethereum,0.027643096515542358
gg24,elo,11,NethermindEth/nethermind,0.026759194892671027
gg24,elo,12,Consensys/teku,0.022426715105215194
gg24,elo,13,sigp/lighthouse,0.02207270859858381
gg24,elo,14,libp2p/libp2p,0.020646871667400646
gg24,elo,15,ethereum/web3.py,0.019510325163827502
gg24,elo,16,OffchainLabs/prysm,0.019198035640693483
gg24,elo,17,foundry-rs/foundry,0.018744627495027283
gg24,elo,18,flashbots/mev-boost,0.018605638888209236
gg24,elo,19,ethereum/py_ecc,0.016651518498389924
gg24,elo,20,herumi/mcl,0.014522186193142885
gg24,elo,21,argotorg/sourcify,0.01403767006057377
gg24,elo,22,hyperledger/besu,0.01402168583762808
gg24,elo,23,erigontech/erigon,0.013661407027283407
gg24,elo,24,LFDT-web3j/web3j,0.013126964163782541
gg24,elo,25,paulmillr/noble-curves,0.012835916378319488
gg24,elo,26,flashbots/mev-boost-relay,0.012375913382484697
gg24,elo,27,ethereum/js-ethereum-cryptography,0.012225309988675784
gg24,elo,28,paradigmxyz/reth,0.012189717943378586
gg24,elo,29,ChainSafe/lodestar,0.011501071870230629
gg24,elo,30,safe-global/safe-smart-account,0.01137287113420186
gg24,elo,31,status-im/nimbus-eth2,0.011202473551542325
gg24,elo,32,erigontech/silkworm,0.011130603342878907
gg24,elo,33,flashbots/rbuilder,0.010172466091401858
gg24,elo,34,arkworks-rs/algebra,0.010029534346769458
gg24,elo,35,wevm/viem,0.010006974401149777
gg24,elo,36,vyperlang/vyper,0.009765560721974915
gg24,elo,37,ipsilon/evmone,0.009622084832633505
gg24,elo,38,wighawag/hardhat-deploy,0.008516421257105812
gg24,elo,39,Nethereum/Nethereum,0.008281530926194864
gg24,elo,40,Consensys/gnark-crypto,0.007412996229823005
gg24,elo,41,eth-infinitism/account-abstraction,0.007311821860820947
gg24,elo,42,ChainSafe/bls,0.0072088147411036975
gg24,elo,43,Plonky3/Plonky3,0.006963839453613253
gg24,elo,44,DefiLlama/DefiLlama-Adapters,0.006688103468562809
gg24,elo,45,l2beat/l2beat,0.006240623555311782
gg24,elo,46,taikoxyz/taiko-mono,0.006236611275404749
gg24,elo,47,scaffold-eth/scaffold-eth-2,0.0058713338892406805
gg24,elo,48,Vectorized/solady,0.005792042406455812
gg24,elo,49,argotorg/hevm,0.005697932019664836
gg24,elo,50,a16z/helios,0.005340433535860905
gg24,elo,51,blockscout/blockscout,0.005194555267808244
gg24,elo,52,ethereum-lists/chains,0.0050702332060085595
gg24,elo,53,wealdtech/ethdo,0.005005930754942414
gg24,elo,54,Certora/CertoraProver,0.004995736387230931
gg24,elo,55,intellij-solidity/intellij-solidity,0.004662174206430222
gg24,elo,56,EspressoSystems/jellyfish,0.00440859366948764
gg24,elo,57,protofire/solhint,0.004387963331345809
gg24,elo,58,ethpandaops/ethereum-helm-charts,0.0043622914922648555
gg24,elo,59,DefiLlama/chainlist,0.004182910358780455
gg24,elo,60,dappnode/DAppNode,0.00410025107795002
gg24,elo,61,TrueBlocks/trueblocks-core,0.003927048662583378
gg24,elo,62,ethstaker/eth-docker,0.0037149532986094354
gg24,elo,63,argotorg/fe,0.003560293481749228
gg24,elo,64,grandinetech/grandine,0.0035470961370680223
gg24,elo,65,shazow/whatsabi,0.0033930595354669008
gg24,elo,66,holiman/goevmlab,0.003361984424581118
gg24,elo,67,smartcontracts/simple-optimism-node,0.003226606943410336
gg24,elo,68,otterscan/otterscan,0.0031417416603856186
gg24,elo,69,succinctlabs/sp1,0.0030844099104271935
gg24,elo,70,succinctlabs/op-succinct,0.0030689023553922344
gg24,elo,71,lambdaclass/lambdaworks,0.0029616989370375487
gg24,elo,72,skalenetwork/libBLS,0.002954939499784496
gg24,elo,73,risc0/risc0-ethereum,0.0029216583336694655
gg24,elo,74,lambdaclass/ethrex,0.002862886588117657
gg24,elo,75,alloy-rs/alloy,0.0028424482312889346
gg24,elo,76,ApeWorX/ape,0.0027358641208195746
gg24,elo,77,aestus-relay/mev-boost-relay,0.0026786273083681624
gg24,elo,78,edb-rs/edb,0.0026207202082907007
gg24,elo,79,Commit-Boost/commit-boost-client,0.0025018637286647726
gg24,elo,80,0xMiden/miden-vm,0.002260117531172639
gg24,elo,81,a16z/halmos,0.0022593422891420503
gg24,elo,82,NethermindEth/juno,0.0022556100012779013
gg24,elo,83,ethstaker/ethstaker-deposit-cli,0.0021330237239849817
gg24,elo,84,evmts/tevm-monorepo,0.002132072303123906
gg24,elo,85,ethpandaops/ethereum-package,0.0019200818290504276
gg24,elo,86,vyperlang/titanoboa,0.0017845918262476821
gg24,elo,87,OffchainLabs/stylus-sdk-rs,0.0017801718035427593
gg24,elo,88,succinctlabs/rsp,0.001763550221098652
gg24,elo,89,dl-solarity/solidity-lib,0.0017401305772236527
gg24,elo,90,lambdaclass/lambda_ethereum_consensus,0.0016639181938889048
gg24,elo,91,Cyfrin/aderyn,0.0015852517842963496
gg24,elo,92,ethdebug/format,0.0015165162437207722
gg24,elo,93,axiom-crypto/snark-verifier,0.0014037803266404452
gg24,elo,94,powdr-labs/powdr,0.0013921447833825165
gg24,elo,95,swiss-knife-xyz/swiss-knife,0.00128367186258071
gg24,elo,96,ethpandaops/checkpointz,0.0011270010104286728
gg24,elo,97,argotorg/act,0.000667900696701319
