competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,dev,growthepie/gtp-dna,ReamLabs/ream,ReamLabs/ream,2025-10-21T15:38:52.466973+00:00,0.000553
gg24,dev,Certora/CertoraProver,ethui/ethui,Certora/CertoraProver,2025-10-21T15:38:53.643993+00:00,0.0008125
gg24,dev,evmts/guillotine,growthepie/gtp-frontend,evmts/guillotine,2025-10-21T15:38:54.186820+00:00,0.000682
gg24,dev,dappnode/DAppNode,kamikazebr/owner-sync-safe,dappnode/DAppNode,2025-10-21T15:38:54.223295+00:00,0.00080625
gg24,dev,BuidlGuidl/buidlguidl-client,succinctlabs/op-succinct,succinctlabs/op-succinct,2025-10-21T15:38:54.439356+00:00,0.000942
gg24,dev,ChaosChain/trustless-agents-erc-ri,deficollective/defiscan,deficollective/defiscan,2025-10-21T15:38:54.455410+00:00,0.0009445
gg24,dev,growthepie/gtp-dna,wighawag/clones-with-immutable-args,wighawag/clones-with-immutable-args,2025-10-21T15:38:54.533402+00:00,0.00068225
gg24,dev,lambdaclass/cairo_native,qdrvm/qlean-mini,lambdaclass/cairo_native,2025-10-21T15:38:54.622468+00:00,0.000685
gg24,dev,openintentsframework/oif-contracts,powdr-labs/powdr,powdr-labs/powdr,2025-10-21T15:38:54.827330+00:00,0.00107075
gg24,dev,iden3/go-iden3-crypto,Luganodes/Pectra-Batch-Contract,iden3/go-iden3-crypto,2025-10-21T15:38:55.068682+00:00,0.00081975
gg24,dev,ethlimo/dweb-proxy-api,lambdaclass/lambdaworks,lambdaclass/lambdaworks,2025-10-21T15:38:55.136199+00:00,0.00081825
gg24,dev,ethereum/js-ethereum-cryptography,NethermindEth/latticefold,ethereum/js-ethereum-cryptography,2025-10-21T15:38:55.158504+00:00,0.000940
gg24,dev,easpulse/easpulse.com,succinctlabs/network,succinctlabs/network,2025-10-21T15:38:55.336444+00:00,0.0008185
gg24,dev,Markeljan/web3gpt,Verified-zkEVM/VCV-io,Verified-zkEVM/VCV-io,2025-10-21T15:38:55.365576+00:00,0.000813
gg24,dev,DexKit/dexkit-monorepo,wealdtech/ethereal,wealdtech/ethereal,2025-10-21T15:38:55.435874+00:00,0.00080625
gg24,dev,brevis-network/Pico-zkCoprocessor,scipr-lab/libsnark,scipr-lab/libsnark,2025-10-21T15:38:55.585690+00:00,0.00119425
gg24,dev,3loop/loop-decoder,lambdaclass/ethrex,lambdaclass/ethrex,2025-10-21T15:38:55.630749+00:00,0.00081325
gg24,dev,ChainSafe/bls,Verified-zkEVM/ArkLib,ChainSafe/bls,2025-10-21T15:38:55.662533+00:00,0.00106625
gg24,dev,keep-starknet-strange/garaga,Lay3rLabs/WAVS,keep-starknet-strange/garaga,2025-10-21T15:38:55.708324+00:00,0.000943
gg24,dev,PolyhedraZK/Expander,Zokrates/ZoKrates,Zokrates/ZoKrates,2025-10-21T15:38:55.744335+00:00,0.00081225
gg24,dev,0xFacet/facet-node,scipr-lab/libsnark,scipr-lab/libsnark,2025-10-21T15:38:55.793412+00:00,0.0011905
gg24,dev,indutny/elliptic,swiss-knife-xyz/swiss-knife,indutny/elliptic,2025-10-21T15:38:55.891563+00:00,0.000941
gg24,dev,pawurb/mevlog-rs,wealdtech/ethdo,wealdtech/ethdo,2025-10-21T15:38:55.946192+00:00,0.00106225
gg24,dev,scipr-lab/libsnark,stake-house/wagyu-key-gen,scipr-lab/libsnark,2025-10-21T15:38:55.980782+00:00,0.00093525
gg24,dev,evmts/krome,0xFacet/facet-node,evmts/krome,2025-10-21T15:38:56.212586+00:00,0.0008075
gg24,dev,arnaucube/poseidon-rs,easpulse/easpulse.com,arnaucube/poseidon-rs,2025-10-21T15:38:56.376765+00:00,0.0011975
gg24,dev,boundless-xyz/steel,Verified-zkEVM/VCV-io,Verified-zkEVM/VCV-io,2025-10-21T15:38:56.497188+00:00,0.001325
gg24,dev,EspressoSystems/jellyfish,Verified-zkEVM/ArkLib,EspressoSystems/jellyfish,2025-10-21T15:38:56.509185+00:00,0.00081125
gg24,dev,herumi/mcl,wealdtech/ethereal,herumi/mcl,2025-10-21T15:38:56.530084+00:00,0.001444
gg24,dev,herumi/mcl,ithacaxyz/porto,herumi/mcl,2025-10-21T15:38:56.542755+00:00,0.000935
gg24,dev,evmts/tevm-monorepo,growthepie/gtp-backend,evmts/tevm-monorepo,2025-10-21T15:38:56.549658+00:00,0.001071
gg24,dev,AgnopraxLab/D2PFuzz,Vectorized/solady,Vectorized/solady,2025-10-21T15:38:56.635650+00:00,0.000810
gg24,dev,blockscout/blockscout,ethaccount/SAManager,blockscout/blockscout,2025-10-21T15:38:56.691697+00:00,0.0006835
gg24,dev,lovesh/bulletproofs-r1cs-gadgets,Zokrates/ZoKrates,Zokrates/ZoKrates,2025-10-21T15:38:57.007910+00:00,0.00145475
gg24,dev,dusk-network/Poseidon252,easpulse/easpulse.com,dusk-network/Poseidon252,2025-10-21T15:38:57.021559+00:00,0.00119775
gg24,dev,boundless-xyz/steel,circuitscan/circuitscan,boundless-xyz/steel,2025-10-21T15:38:57.079097+00:00,0.001194
gg24,dev,Commit-Boost/commit-boost-client,DexKit/dexkit-monorepo,Commit-Boost/commit-boost-client,2025-10-21T15:38:57.245652+00:00,0.00106925
gg24,dev,keep-starknet-strange/garaga,paulmillr/noble-curves,paulmillr/noble-curves,2025-10-21T15:38:57.254491+00:00,0.000946
gg24,dev,circuitscan/circuitscan,ethaccount/SAManager,circuitscan/circuitscan,2025-10-21T15:38:57.261434+00:00,0.00106525
gg24,dev,succinctlabs/op-succinct,wealdtech/ethdo,wealdtech/ethdo,2025-10-21T15:38:57.364050+00:00,0.0011925
gg24,dev,iden3/circomlib,Lay3rLabs/WAVS,iden3/circomlib,2025-10-21T15:38:57.371175+00:00,0.0009365
gg24,dev,dusk-network/Poseidon252,lambdaclass/cairo_native,dusk-network/Poseidon252,2025-10-21T15:38:57.441473+00:00,0.00158125
gg24,dev,ingonyama-zk/poseidon-hash,ritual-net/infernet-node,ingonyama-zk/poseidon-hash,2025-10-21T15:38:57.462798+00:00,0.00132875
gg24,dev,0xPolygonHermez/zisk-eth-client,pawurb/mevlog-rs,pawurb/mevlog-rs,2025-10-21T15:38:57.469317+00:00,0.00119375
gg24,dev,DefiLlama/chainlist,ponkila/HomestakerOS,DefiLlama/chainlist,2025-10-21T15:38:57.542134+00:00,0.001065
gg24,dev,arkworks-rs/algebra,Commit-Boost/commit-boost-client,arkworks-rs/algebra,2025-10-21T15:38:57.554233+00:00,0.00119775
gg24,dev,supranational/blst,Verified-zkEVM/ArkLib,supranational/blst,2025-10-21T15:38:57.560627+00:00,0.00093825
gg24,dev,flashbots/mev-boost,rollup-fortress/uncensored,flashbots/mev-boost,2025-10-21T15:38:57.657240+00:00,0.001198
gg24,dev,evmts/tevm-monorepo,openvm-org/openvm,evmts/tevm-monorepo,2025-10-21T15:38:57.833486+00:00,0.00145225
gg24,dev,libp2p/libp2p,Verified-zkEVM/ArkLib,libp2p/libp2p,2025-10-21T15:38:57.844267+00:00,0.0014535
gg24,dev,edb-rs/edb,wealdtech/ethereal,edb-rs/edb,2025-10-21T15:38:58.123194+00:00,0.00144625
gg24,dev,ConsenSysDiligence/sol-dbg,kamikazebr/owner-sync-safe,ConsenSysDiligence/sol-dbg,2025-10-21T15:38:58.234902+00:00,0.001322
gg24,dev,arkworks-rs/r1cs-std,pawurb/mevlog-rs,arkworks-rs/r1cs-std,2025-10-21T15:38:58.438087+00:00,0.001197
gg24,dev,DefiLlama/DefiLlama-Adapters,shamatar/poseidon_hash,DefiLlama/DefiLlama-Adapters,2025-10-21T15:38:58.501233+00:00,0.001193
gg24,dev,Verified-zkEVM/iris-lean,powdr-labs/powdr,powdr-labs/powdr,2025-10-21T15:38:58.533067+00:00,0.001327
gg24,dev,axiom-crypto/snark-verifier,smartcontracts/simple-optimism-node,smartcontracts/simple-optimism-node,2025-10-21T15:38:58.551329+00:00,0.0011925
gg24,dev,attestantio/dirk,opensource-observer/oso,attestantio/dirk,2025-10-21T15:38:58.594268+00:00,0.00093325
gg24,dev,Jam516/BundleBear,Markeljan/web3gpt,Markeljan/web3gpt,2025-10-21T15:38:58.601462+00:00,0.001576
gg24,dev,Elefria-Labs/evm-tools,Lightprotocol/light-poseidon,Lightprotocol/light-poseidon,2025-10-21T15:38:58.736666+00:00,0.00093575
gg24,dev,coincashew/EthPillar,witnet/elliptic-curve-solidity,witnet/elliptic-curve-solidity,2025-10-21T15:38:58.784883+00:00,0.001455
gg24,dev,han0110/hash-sig-agg,migalabs/goteth,migalabs/goteth,2025-10-21T15:38:59.157576+00:00,0.001322
gg24,dev,openintentsframework/oif-contracts,scipr-lab/libsnark,scipr-lab/libsnark,2025-10-21T15:38:59.252783+00:00,0.00119675
gg24,dev,evmts/tevm-monorepo,indutny/elliptic,indutny/elliptic,2025-10-21T15:38:59.344609+00:00,0.0013255
gg24,dev,holiman/goevmlab,Markeljan/web3gpt,holiman/goevmlab,2025-10-21T15:38:59.420636+00:00,0.00157625
gg24,dev,ethui/ethui,valida-xyz/valida,valida-xyz/valida,2025-10-21T15:38:59.594038+00:00,0.0014485
gg24,dev,brevis-network/Pico-zkCoprocessor,HorizenOfficial/ginger-lib,HorizenOfficial/ginger-lib,2025-10-21T15:38:59.695845+00:00,0.0010685
gg24,dev,Layr-Labs/eigenx-cli,paulmillr/noble-curves,paulmillr/noble-curves,2025-10-21T15:38:59.728664+00:00,0.0014545
gg24,dev,Luganodes/Pectra-Batch-Contract,risc0/RustCrypto-elliptic-curves,risc0/RustCrypto-elliptic-curves,2025-10-21T15:38:59.770734+00:00,0.00171875
gg24,dev,blockblaz/zeam,Layr-Labs/eigenx-cli,blockblaz/zeam,2025-10-21T15:38:59.903070+00:00,0.001451
