competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,ethereum-dev,Blobscan/blobscan,PolyhedraZK/Expander,Blobscan/blobscan,2025-10-21T15:09:47.114238+00:00,0.0000521
gg24,ethereum-dev,open-rpc/client-js,Pier-Two/Lantern.Discv5,open-rpc/client-js,2025-10-21T15:09:47.178777+00:00,0.0000527
gg24,ethereum-dev,HorizenLabs/poseidon2,smartcontracts/simple-optimism-node,smartcontracts/simple-optimism-node,2025-10-21T15:09:47.246004+00:00,0.0000512
gg24,ethereum-dev,ephemery-testnet/ephemery-genesis,pcaversaccio/safe-tx-hashes-util,pcaversaccio/safe-tx-hashes-util,2025-10-21T15:09:47.246587+00:00,0.0000559
gg24,ethereum-dev,3loop/loop-decoder,ritual-net/infernet-sdk,3loop/loop-decoder,2025-10-21T15:09:47.369199+00:00,0.0000526
gg24,ethereum-dev,Lightprotocol/light-poseidon,Plonky3/Plonky3,Plonky3/Plonky3,2025-10-21T15:09:47.442646+00:00,0.0000522
gg24,ethereum-dev,attestantio/dirk,Elefria-Labs/evm-tools,attestantio/dirk,2025-10-21T15:09:47.443221+00:00,0.0000502
gg24,ethereum-dev,Jam516/BundleBear,openvm-org/openvm,openvm-org/openvm,2025-10-21T15:09:47.443791+00:00,0.0000519
gg24,ethereum-dev,Blobscan/blobscan,ChainSafe/bls,ChainSafe/bls,2025-10-21T15:09:47.444369+00:00,0.0000514
gg24,ethereum-dev,blockblaz/zeam,intellij-solidity/intellij-solidity,intellij-solidity/intellij-solidity,2025-10-21T15:09:47.444927+00:00,0.0000517
gg24,ethereum-dev,pcaversaccio/snekmate,powdr-labs/powdr,pcaversaccio/snekmate,2025-10-21T15:09:47.445496+00:00,0.0000545
gg24,ethereum-dev,ChainSafe/bls,migalabs/goteth,ChainSafe/bls,2025-10-21T15:09:47.446071+00:00,0.0000524
gg24,ethereum-dev,LFDT-web3j/web3j,orbitdb/orbitdb,LFDT-web3j/web3j,2025-10-21T15:09:47.446633+00:00,0.0000528
gg24,ethereum-dev,corpus-core/colibri-stateless,joshstevens19/rrelayer,joshstevens19/rrelayer,2025-10-21T15:09:47.447187+00:00,0.0000534
gg24,ethereum-dev,DefiLlama/DefiLlama-Adapters,shutter-network/rolling-shutter,DefiLlama/DefiLlama-Adapters,2025-10-21T15:09:47.447741+00:00,0.0000536
gg24,ethereum-dev,Certora/CertoraProver,stake-house/wagyu-key-gen,Certora/CertoraProver,2025-10-21T15:09:47.448285+00:00,0.0000540
gg24,ethereum-dev,attestantio/dirk,NethermindEth/Forta-Agents,NethermindEth/Forta-Agents,2025-10-21T15:09:47.448841+00:00,0.0000516
gg24,ethereum-dev,keep-starknet-strange/garaga,rollup-fortress/uncensored,keep-starknet-strange/garaga,2025-10-21T15:09:47.449410+00:00,0.0000548
gg24,ethereum-dev,holiman/goevmlab,taikoxyz/taiko-mono,taikoxyz/taiko-mono,2025-10-21T15:09:47.449970+00:00,0.0000520
gg24,ethereum-dev,brevis-network/Pico-zkCoprocessor,growthepie/gtp-backend,growthepie/gtp-backend,2025-10-21T15:09:48.299834+00:00,0.0000527
gg24,ethereum-dev,ethereum/py_ecc,openintentsframework/oif-solver,ethereum/py_ecc,2025-10-21T15:09:48.300385+00:00,0.0000540
gg24,ethereum-dev,iden3/circomlib,openvm-org/openvm,iden3/circomlib,2025-10-21T15:09:48.300910+00:00,0.0000519
gg24,ethereum-dev,indutny/elliptic,lurk-lab/neptune-triton,indutny/elliptic,2025-10-21T15:09:48.301449+00:00,0.0000528
