competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,builder,BootNodeDev/intents-framework,kamikazebr/owner-sync-safe,BootNodeDev/intents-framework,2025-10-21T18:04:45.757352+00:00,0.0006645
gg24,dev,BootNodeDev/intents-framework,kamikazebr/owner-sync-safe,BootNodeDev/intents-framework,2025-10-21T18:04:46.689884+00:00,0.000667
gg24,founder,BootNodeDev/intents-framework,kamikazebr/owner-sync-safe,BootNodeDev/intents-framework,2025-10-21T18:04:46.705985+00:00,0.0007945
gg24,ethereum-dev,BootNodeDev/intents-framework,kamikazebr/owner-sync-safe,BootNodeDev/intents-framework,2025-10-21T18:04:46.822102+00:00,0.0007945
gg24,dev,Pier-Two/Lantern.Discv5,dewdrip/eth-mobile,Pier-Two/Lantern.Discv5,2025-10-21T18:04:47.210726+00:00,0.00079775
gg24,founder,Pier-Two/Lantern.Discv5,dewdrip/eth-mobile,Pier-Two/Lantern.Discv5,2025-10-21T18:04:47.634632+00:00,0.00092525
gg24,founder,openlabelsinitiative/OLI,valida-xyz/valida,valida-xyz/valida,2025-10-21T18:04:47.674150+00:00,0.000925
gg24,dev,openlabelsinitiative/OLI,valida-xyz/valida,valida-xyz/valida,2025-10-21T18:04:47.684922+00:00,0.0009255
gg24,meta,open-rpc/client-js,DefiLlama/chainlist,DefiLlama/chainlist,2025-10-21T18:04:48.069552+00:00,0.0009185
gg24,dev,Plonky3/Plonky3,swiss-knife-xyz/swiss-knife,Plonky3/Plonky3,2025-10-21T18:04:48.149703+00:00,0.001057
gg24,senior-dev,Plonky3/Plonky3,swiss-knife-xyz/swiss-knife,Plonky3/Plonky3,2025-10-21T18:04:48.269083+00:00,0.001313
gg24,senior-dev,open-rpc/client-js,DefiLlama/chainlist,DefiLlama/chainlist,2025-10-21T18:04:48.507725+00:00,0.00092125
gg24,meta,lurk-lab/neptune-triton,skalenetwork/libBLS,skalenetwork/libBLS,2025-10-21T18:04:48.532701+00:00,0.00093625
gg24,meta,openlabelsinitiative/OLI,valida-xyz/valida,valida-xyz/valida,2025-10-21T18:04:48.970920+00:00,0.00105075
gg24,senior-dev,Pier-Two/Lantern.Discv5,dewdrip/eth-mobile,Pier-Two/Lantern.Discv5,2025-10-21T18:04:49.180160+00:00,0.00118175
gg24,ethereum-dev,open-rpc/client-js,DefiLlama/chainlist,DefiLlama/chainlist,2025-10-21T18:04:49.288985+00:00,0.00104875
gg24,founder,lurk-lab/neptune-triton,skalenetwork/libBLS,skalenetwork/libBLS,2025-10-21T18:04:49.688272+00:00,0.0010665
gg24,meta,OpenZeppelin/openzeppelin-relayer,Cyfrin/aderyn,Cyfrin/aderyn,2025-10-21T18:04:49.925736+00:00,0.00130525
gg24,dev,open-rpc/client-js,DefiLlama/chainlist,DefiLlama/chainlist,2025-10-21T18:04:49.989770+00:00,0.00104925
gg24,founder,BootNodeDev/intents-framework,keep-starknet-strange/garaga,BootNodeDev/intents-framework,2025-10-21T18:04:49.995234+00:00,0.00118625
gg24,senior-dev,ReamLabs/ream,keep-starknet-strange/garaga,keep-starknet-strange/garaga,2025-10-21T18:04:50.238731+00:00,0.001185
gg24,meta,ReamLabs/ream,keep-starknet-strange/garaga,ReamLabs/ream,2025-10-21T18:04:50.447688+00:00,0.00156625
gg24,meta,BootNodeDev/intents-framework,keep-starknet-strange/garaga,keep-starknet-strange/garaga,2025-10-21T18:04:50.458914+00:00,0.001312
gg24,founder,OpenZeppelin/openzeppelin-relayer,Cyfrin/aderyn,Cyfrin/aderyn,2025-10-21T18:04:50.693650+00:00,0.0013075
gg24,ethereum-dev,BootNodeDev/intents-framework,keep-starknet-strange/garaga,keep-starknet-strange/garaga,2025-10-21T18:04:50.860323+00:00,0.00157025
