competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,dev,brevis-network/Pico-zkCoprocessor,protofire/solhint,protofire/solhint,2025-10-21T15:28:36.347115+00:00,0.0006825
gg24,dev,ethaccount/SAManager,succinctlabs/rsp,succinctlabs/rsp,2025-10-21T15:28:36.595731+00:00,0.0006825
gg24,dev,holiman/goevmlab,joshstevens19/rrelayer,holiman/goevmlab,2025-10-21T15:28:36.728536+00:00,0.00093725
gg24,dev,axiom-crypto/openvm-reth-benchmark,w3f/bls,w3f/bls,2025-10-21T15:28:36.800128+00:00,0.000679
gg24,dev,circuitscan/circuitscan,Lightprotocol/light-poseidon,Lightprotocol/light-poseidon,2025-10-21T15:28:37.006729+00:00,0.00080825
gg24,dev,circuitscan/circuitscan,CryptoExperts/poseidon,CryptoExperts/poseidon,2025-10-21T15:28:37.066938+00:00,0.000933
gg24,dev,enscribexyz/enscribe,iden3/snarkjs,iden3/snarkjs,2025-10-21T15:28:37.360441+00:00,0.00106275
gg24,dev,flashbots/rbuilder,ProjectZKM/Ziren,flashbots/rbuilder,2025-10-21T15:28:37.405531+00:00,0.00119775
gg24,dev,Layr-Labs/devkit-cli,PracticalParticle/Bloxchain-Protocol,Layr-Labs/devkit-cli,2025-10-21T15:28:37.504987+00:00,0.0006935
gg24,dev,anoma/arm-risc0,DefiLlama/DefiLlama-Adapters,DefiLlama/DefiLlama-Adapters,2025-10-21T15:28:37.629192+00:00,0.0008105
gg24,dev,3loop/loop-decoder,growthepie/gtp-dna,3loop/loop-decoder,2025-10-21T15:28:37.817520+00:00,0.00093825
gg24,dev,han0110/hash-sig-agg,kamikazebr/owner-sync-safe,han0110/hash-sig-agg,2025-10-21T15:28:38.119358+00:00,0.0009335
gg24,dev,risc0/risc0-ethereum,riscv/sail-riscv,risc0/risc0-ethereum,2025-10-21T15:28:38.260339+00:00,0.001452
gg24,dev,circuitscan/circuitscan,dewdrip/eth-mobile,dewdrip/eth-mobile,2025-10-21T15:28:38.308079+00:00,0.0010635
gg24,dev,dusk-network/Poseidon252,OffchainLabs/stylus-sdk-rs,dusk-network/Poseidon252,2025-10-21T15:28:38.346147+00:00,0.00132275
gg24,dev,evmts/krome,ponkila/HomestakerOS,evmts/krome,2025-10-21T15:28:38.399389+00:00,0.000940
gg24,dev,ephemery-testnet/ephemery-genesis,PolyhedraZK/Expander,PolyhedraZK/Expander,2025-10-21T15:28:38.485298+00:00,0.0009405
gg24,dev,3loop/loop-decoder,Certora/CertoraProver,Certora/CertoraProver,2025-10-21T15:28:38.576146+00:00,0.00094325
gg24,dev,0xFacet/facet-node,flashbots/relay-specs,flashbots/relay-specs,2025-10-21T15:28:38.776469+00:00,0.000805
gg24,dev,ithacaxyz/account,riscv/sail-riscv,ithacaxyz/account,2025-10-21T15:28:38.904436+00:00,0.00119275
gg24,dev,HorizenLabs/poseidon2,verifereum/verifereum,HorizenLabs/poseidon2,2025-10-21T15:28:38.971037+00:00,0.001063
gg24,dev,pawurb/mevlog-rs,supranational/blst,supranational/blst,2025-10-21T15:28:39.011608+00:00,0.000681
gg24,dev,herumi/bls,taikoxyz/taiko-mono,herumi/bls,2025-10-21T15:28:39.030013+00:00,0.00093525
gg24,dev,dl-solarity/solidity-lib,lurk-lab/neptune-triton,dl-solarity/solidity-lib,2025-10-21T15:28:39.053511+00:00,0.0010665
gg24,dev,intellij-solidity/intellij-solidity,tlsnotary/tlsn,intellij-solidity/intellij-solidity,2025-10-21T15:28:39.193958+00:00,0.00106525
gg24,dev,rollup-fortress/uncensored,wighawag/hardhat-deploy,wighawag/hardhat-deploy,2025-10-21T15:28:39.207645+00:00,0.00106725
gg24,dev,BootNodeDev/intents-framework,lambdaclass/rex,BootNodeDev/intents-framework,2025-10-21T15:28:39.279647+00:00,0.00132125
gg24,dev,a16z/halmos,circuitscan/circuitscan,a16z/halmos,2025-10-21T15:28:39.342077+00:00,0.00093575
gg24,dev,joshstevens19/rrelayer,openintentsframework/oif-solver,joshstevens19/rrelayer,2025-10-21T15:28:39.412422+00:00,0.000942
gg24,dev,enscribexyz/enscribe,Verified-zkEVM/ArkLib,Verified-zkEVM/ArkLib,2025-10-21T15:28:39.663547+00:00,0.0010635
gg24,dev,easpulse/easpulse.com,sumitvekariya/sol2seq,easpulse/easpulse.com,2025-10-21T15:28:39.689641+00:00,0.001199
gg24,dev,Cyfrin/aderyn,flashbots/relay-specs,flashbots/relay-specs,2025-10-21T15:28:39.751391+00:00,0.0010645
gg24,dev,dl-solarity/solidity-lib,openvm-org/openvm,dl-solarity/solidity-lib,2025-10-21T15:28:39.779573+00:00,0.00119275
gg24,dev,axiom-crypto/halo2-lib,deficollective/defiscan,axiom-crypto/halo2-lib,2025-10-21T15:28:39.922834+00:00,0.0010675
gg24,dev,edb-rs/edb,ephemery-testnet/ephemery-genesis,edb-rs/edb,2025-10-21T15:28:39.947675+00:00,0.00119375
gg24,dev,axiom-crypto/snark-verifier,supranational/blst,supranational/blst,2025-10-21T15:28:40.001988+00:00,0.00119125
gg24,dev,EspressoSystems/hyperplonk,joshstevens19/rrelayer,EspressoSystems/hyperplonk,2025-10-21T15:28:40.172218+00:00,0.0011925
gg24,dev,3loop/loop-decoder,Verified-zkEVM/ArkLib,Verified-zkEVM/ArkLib,2025-10-21T15:28:40.214853+00:00,0.0013225
gg24,dev,Jam516/BundleBear,joshstevens19/rrelayer,joshstevens19/rrelayer,2025-10-21T15:28:40.293616+00:00,0.001067
gg24,dev,evmts/krome,risc0/zirgen,risc0/zirgen,2025-10-21T15:28:40.341039+00:00,0.0011935
gg24,dev,axiom-crypto/halo2-lib,Verified-zkEVM/VCV-io,axiom-crypto/halo2-lib,2025-10-21T15:28:40.416198+00:00,0.00132475
