competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,builder,Lay3rLabs/WAVS,wealdtech/ethereal,wealdtech/ethereal,2025-10-21T18:26:54.613716+00:00,0.00066225
gg24,founder,Verified-zkEVM/ArkLib,boundless-xyz/steel,Verified-zkEVM/ArkLib,2025-10-21T18:26:55.012382+00:00,0.0005415
gg24,founder,han0110/hash-sig-agg,0xPolygonHermez/zisk,0xPolygonHermez/zisk,2025-10-21T18:26:55.407036+00:00,0.00079225
gg24,meta,Verified-zkEVM/clean,Plonky3/Plonky3,Plonky3/Plonky3,2025-10-21T18:26:55.539825+00:00,0.00079475
gg24,senior-dev,TrueBlocks/trueblocks-core,b-wagn/hash-sig,TrueBlocks/trueblocks-core,2025-10-21T18:26:56.016207+00:00,0.00079825
gg24,builder,Lay3rLabs/WAVS,ethstaker/ethstaker-deposit-cli,ethstaker/ethstaker-deposit-cli,2025-10-21T18:26:56.385335+00:00,0.0007955
gg24,meta,Raiders0786/digibastion,ethereum/js-ethereum-cryptography,ethereum/js-ethereum-cryptography,2025-10-21T18:26:56.607141+00:00,0.000675
gg24,meta,NethermindEth/sedge,ponkila/HomestakerOS,NethermindEth/sedge,2025-10-21T18:26:56.724077+00:00,0.00079625
gg24,dev,NethermindEth/sedge,ponkila/HomestakerOS,NethermindEth/sedge,2025-10-21T18:26:56.778761+00:00,0.000799
gg24,founder,Raiders0786/digibastion,ethereum/js-ethereum-cryptography,ethereum/js-ethereum-cryptography,2025-10-21T18:26:57.195218+00:00,0.00093325
gg24,founder,TrueBlocks/trueblocks-core,b-wagn/hash-sig,TrueBlocks/trueblocks-core,2025-10-21T18:26:57.292535+00:00,0.00079775
gg24,senior-dev,scipr-lab/libsnark,holiman/goevmlab,scipr-lab/libsnark,2025-10-21T18:26:57.298335+00:00,0.001051
gg24,dev,scipr-lab/libsnark,holiman/goevmlab,scipr-lab/libsnark,2025-10-21T18:26:57.407644+00:00,0.000923
gg24,builder,Raiders0786/digibastion,ethereum/js-ethereum-cryptography,ethereum/js-ethereum-cryptography,2025-10-21T18:26:57.442339+00:00,0.00067525
gg24,founder,scipr-lab/libsnark,holiman/goevmlab,scipr-lab/libsnark,2025-10-21T18:26:57.470918+00:00,0.0009225
gg24,ethereum-dev,0xandee/noir-playground,Raiders0786/digibastion,0xandee/noir-playground,2025-10-21T18:26:57.474073+00:00,0.00106125
gg24,founder,Verified-zkEVM/clean,Plonky3/Plonky3,Plonky3/Plonky3,2025-10-21T18:26:57.576792+00:00,0.000925
gg24,meta,Verified-zkEVM/ArkLib,boundless-xyz/steel,Verified-zkEVM/ArkLib,2025-10-21T18:26:57.583297+00:00,0.00092325
gg24,senior-dev,0xandee/noir-playground,Raiders0786/digibastion,0xandee/noir-playground,2025-10-21T18:26:57.623072+00:00,0.00106175
gg24,meta,dappnode/DAppNode,dusk-network/Poseidon252,dappnode/DAppNode,2025-10-21T18:26:57.665953+00:00,0.00104875
gg24,ethereum-dev,ConsenSysDiligence/sol-dbg,ingonyama-zk/poseidon-hash,ingonyama-zk/poseidon-hash,2025-10-21T18:26:57.782943+00:00,0.00080325
gg24,ethereum-dev,TrueBlocks/trueblocks-core,b-wagn/hash-sig,TrueBlocks/trueblocks-core,2025-10-21T18:26:57.847868+00:00,0.00118175
gg24,meta,TrueBlocks/trueblocks-core,b-wagn/hash-sig,TrueBlocks/trueblocks-core,2025-10-21T18:26:57.916013+00:00,0.0007955
gg24,founder,NethermindEth/sedge,ponkila/HomestakerOS,NethermindEth/sedge,2025-10-21T18:26:58.000033+00:00,0.0011825
gg24,founder,migalabs/armiarma,ithacaxyz/relay,migalabs/armiarma,2025-10-21T18:26:58.126664+00:00,0.0010565
gg24,senior-dev,TobiWo/eth-duties,ChainSafe/bls,ChainSafe/bls,2025-10-21T18:26:58.138090+00:00,0.00105275
gg24,ethereum-dev,NethermindEth/sedge,ponkila/HomestakerOS,NethermindEth/sedge,2025-10-21T18:26:58.179734+00:00,0.0006705
gg24,ethereum-dev,han0110/hash-sig-agg,0xPolygonHermez/zisk,0xPolygonHermez/zisk,2025-10-21T18:26:58.480842+00:00,0.00104825
gg24,senior-dev,Verified-zkEVM/ArkLib,boundless-xyz/steel,Verified-zkEVM/ArkLib,2025-10-21T18:26:58.491807+00:00,0.001054
gg24,builder,scipr-lab/libsnark,holiman/goevmlab,scipr-lab/libsnark,2025-10-21T18:26:58.601130+00:00,0.0010805
gg24,ethereum-dev,Verified-zkEVM/ArkLib,boundless-xyz/steel,Verified-zkEVM/ArkLib,2025-10-21T18:26:58.637993+00:00,0.0010535
gg24,meta,0xandee/noir-playground,Raiders0786/digibastion,0xandee/noir-playground,2025-10-21T18:26:58.685039+00:00,0.000931
gg24,senior-dev,Raiders0786/digibastion,ethereum/js-ethereum-cryptography,ethereum/js-ethereum-cryptography,2025-10-21T18:26:58.696236+00:00,0.00067775
gg24,builder,0xandee/noir-playground,Raiders0786/digibastion,0xandee/noir-playground,2025-10-21T18:26:58.842123+00:00,0.00118725
gg24,founder,Lay3rLabs/WAVS,ethstaker/ethstaker-deposit-cli,ethstaker/ethstaker-deposit-cli,2025-10-21T18:26:58.855206+00:00,0.0007975
gg24,meta,Lay3rLabs/WAVS,ethstaker/ethstaker-deposit-cli,ethstaker/ethstaker-deposit-cli,2025-10-21T18:26:58.964000+00:00,0.00130725
gg24,senior-dev,Lay3rLabs/WAVS,ethstaker/ethstaker-deposit-cli,ethstaker/ethstaker-deposit-cli,2025-10-21T18:26:58.967603+00:00,0.001182
gg24,ethereum-dev,Lay3rLabs/WAVS,ethstaker/ethstaker-deposit-cli,ethstaker/ethstaker-deposit-cli,2025-10-21T18:26:59.032673+00:00,0.0011815
gg24,dev,Raiders0786/digibastion,ethereum/js-ethereum-cryptography,ethereum/js-ethereum-cryptography,2025-10-21T18:26:59.114721+00:00,0.00118975
gg24,builder,dappnode/DAppNode,dusk-network/Poseidon252,dappnode/DAppNode,2025-10-21T18:26:59.287520+00:00,0.001305
