competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,builder,Blobscan/blobscan,rollup-fortress/uncensored,Blobscan/blobscan,2025-10-21T17:32:59.800747+00:00,0.0000454
gg24,builder,keep-starknet-strange/garaga,pcaversaccio/safe-tx-hashes-util,pcaversaccio/safe-tx-hashes-util,2025-10-21T17:32:59.865542+00:00,0.0000515
gg24,builder,enscribexyz/enscribe,NethermindEth/Forta-Agents,NethermindEth/Forta-Agents,2025-10-21T17:32:59.932087+00:00,0.0000449
gg24,builder,flashbots/mev-boost,NethermindEth/latticefold,flashbots/mev-boost,2025-10-21T17:32:59.932681+00:00,0.0000467
gg24,builder,lambdaclass/ethrex,PolyhedraZK/Expander,lambdaclass/ethrex,2025-10-21T17:32:59.933258+00:00,0.0000468
gg24,builder,ethereum-attestation-service/eas-contracts,iden3/snarkjs,iden3/snarkjs,2025-10-21T17:32:59.933849+00:00,0.0000463
gg24,builder,a16z/halmos,arkworks-rs/algebra,a16z/halmos,2025-10-21T17:32:59.934413+00:00,0.0000452
gg24,builder,EspressoSystems/jellyfish,iden3/snarkjs,iden3/snarkjs,2025-10-21T17:33:00.251903+00:00,0.0000457
gg24,builder,kamikazebr/owner-sync-safe,ProjectZKM/zkm-prover,ProjectZKM/zkm-prover,2025-10-21T17:33:00.252504+00:00,0.0000448
gg24,builder,lurk-lab/neptune-triton,ritual-net/infernet-sdk,ritual-net/infernet-sdk,2025-10-21T17:33:00.253054+00:00,0.0000473
gg24,builder,NethermindEth/nine,OffchainLabs/stylus-sdk-rs,OffchainLabs/stylus-sdk-rs,2025-10-21T17:33:00.253614+00:00,0.0000457
gg24,builder,qdrvm/qlean-mini,rollup-fortress/uncensored,rollup-fortress/uncensored,2025-10-21T17:33:00.254169+00:00,0.0000460
gg24,builder,indutny/elliptic,NethermindEth/sedge,indutny/elliptic,2025-10-21T17:33:00.254723+00:00,0.0000454
gg24,builder,iden3/go-iden3-crypto,Verified-zkEVM/VCV-io,iden3/go-iden3-crypto,2025-10-21T17:33:00.642915+00:00,0.0000480
gg24,builder,Commit-Boost/commit-boost-client,lambdaclass/lambdaworks,lambdaclass/lambdaworks,2025-10-21T17:33:00.643591+00:00,0.0000492
gg24,builder,0xPolygonHermez/zisk-eth-client,ithacaxyz/porto,ithacaxyz/porto,2025-10-21T17:33:00.782375+00:00,0.0000450
