competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,senior-dev,Blobscan/blobscan,Lightprotocol/light-poseidon,Blobscan/blobscan,2025-10-21T15:03:55.422151+00:00,
gg24,senior-dev,ethstaker/ethstaker-deposit-cli,tlsnotary/tlsn,ethstaker/ethstaker-deposit-cli,2025-10-21T15:03:55.452641+00:00,
gg24,senior-dev,BuidlGuidl/buidlguidl-client,NethermindEth/sedge,NethermindEth/sedge,2025-10-21T15:03:55.480475+00:00,
gg24,senior-dev,ChainSafe/bls,ingonyama-zk/poseidon-hash,ChainSafe/bls,2025-10-21T15:03:55.484060+00:00,
gg24,senior-dev,HorizenOfficial/ginger-lib,NethermindEth/nine,HorizenOfficial/ginger-lib,2025-10-21T15:03:55.519775+00:00,
gg24,senior-dev,corpus-core/colibri-stateless,Lay3rLabs/WAVS,Lay3rLabs/WAVS,2025-10-21T15:03:55.524553+00:00,
gg24,senior-dev,han0110/hash-sig-agg,TaceoLabs/co-snarks,TaceoLabs/co-snarks,2025-10-21T15:03:55.583657+00:00,
gg24,senior-dev,arkworks-rs/r1cs-std,attestantio/vouch,arkworks-rs/r1cs-std,2025-10-21T15:03:55.598018+00:00,
gg24,senior-dev,serenita-org/vero,succinctlabs/rsp,succinctlabs/rsp,2025-10-21T15:03:55.611769+00:00,
gg24,senior-dev,ConsenSysDiligence/sol-dbg,growthepie/gtp-dna,ConsenSysDiligence/sol-dbg,2025-10-21T15:03:55.620032+00:00,
gg24,senior-dev,DefiLlama/DefiLlama-Adapters,pcaversaccio/snekmate,DefiLlama/DefiLlama-Adapters,2025-10-21T15:03:55.636121+00:00,
gg24,senior-dev,arkworks-rs/algebra,dewdrip/eth-mobile,arkworks-rs/algebra,2025-10-21T15:03:55.643719+00:00,
gg24,senior-dev,ethstaker/ethstaker-deposit-cli,Vectorized/solady,Vectorized/solady,2025-10-21T15:03:55.658771+00:00,
gg24,senior-dev,Consensys/gnark-crypto,supranational/blst,supranational/blst,2025-10-21T15:03:55.662802+00:00,
gg24,senior-dev,enscribexyz/enscribe,Layr-Labs/eigenx-cli,Layr-Labs/eigenx-cli,2025-10-21T15:03:55.737053+00:00,
gg24,senior-dev,ethstaker/eth-docker,Layr-Labs/devkit-cli,ethstaker/eth-docker,2025-10-21T15:03:55.849949+00:00,
